Concat,Provider,Service,Ithrive,Description,Referral Process,Weblinks,Available for,Support Category,Age range,School Service,Referrer,Source,Reviewed?
National resource : Rethink mental illness ,National resource ,Rethink mental illness ,Advice & Signposting,"Rethink is a national mental health charity, their aim to work to help everyone affected by severe mental health illness to recover for a better quality of life. They try to make positive differences by providing hope through effective services, information and support.",info@rethink.org.uk / advice@rethink.org.uk,https://www.rethink.org,All,Wellbeing,All ages,N,Self Referral,YMHFA Manual,y-Diane
National resource : Stamp out suicide ,National resource ,Stamp out suicide ,Advice & Signposting,"Stamp out suicide offers points of contact for those feeling suicidal, those bereaved by suicide or concerned about suicide", info@stampoutsuicide.co.uk,https://www.stampoutsuicide.co.uk/,All,Bereavement,All ages,N,Self Referral,YMHFA Manual,y-Diane
Kent and Medway Mental Health NHS Trust: All age Eating disorder service,Kent and Medway Mental Health NHS Trust,All age Eating disorder service,"Getting more help
(specialist)","The All Age Eating Disorder Service for Kent and Medway is a specialist service. Our service aims to bring hope and confidence, through help and support, to those who have an eating disorder. 

The All age eating Disorder Service accept referrals for:
	Anorexia Nervosa
	Bulimia Nervosa
	Binge Eating Disorder
	Other Specified feeding or eating disorder (OSFED)

The types of support we offer are:
	Online and guided self help
	Family therapy
	Individual cognitive behaviour therapy-E
	Group Work
	Psychiatric Medical Assessment and Reviews
	Dietetic advice and support","The All Age Eating Disorder Service accept self- referrals. 
A Duty Clinician is available Monday to Friday 9-5 to discuss referrals on 0300 300 1980.
We accept referrals from age 8 onwards.
The Duty clinician is available for consultation to agencies as well.
The All Age Eating Disorder Service also accept referrals from GP�s and other medical professionals. ",https://www.nelft.nhs.uk/services-kent-medway-eating-disorders,All,Eating Disorder,"Primary school age, Secondary School age and post 16",N,Self/Professional referral,Commissioned,y-Diane
Kent and Medway Mental Health NHS Trust: Crisis team for Children and Young People,Kent and Medway Mental Health NHS Trust,Crisis team for Children and Young People,Risk Support,"The NELFT Kent and Medway Crisis and Home Treatment Team offer short term intervention for young people who are presenting in mental health crisis. Our aim is to prevent admission to tier 4 services by seeing young people in the community for a short period of time alongside the locality teams.  
We assess young people who present to AE or have been referred from their locality teams with significant mental health concerns, and we offer short term support for several weeks in the community following their presentation. We can see young people in AE, locality teams, homes, schools, or the local community if preferred by the young person. Our contacts are either face to face or via telephone. 
If a young person requires admission to tier 4 services, the crisis team will support the young person until a bed has been identified. 
The crisis team also support young people who have been detained on a section 136 and are currently placed in our health based place of safety.","Via NELFT locality teams (across Kent and Medway) � Internal
Via NELFT single point of access or mental health direct � internal 
Via acute trusts (A&E or acute wards)� 0300 555 1080",,All,Anxiety/Depression/Low mood; Behaviour; Self harm,All ages,N,Professional referral,Commissioned,y-Diane
Kent and Medway Mental Health NHS Trust: Kent & Medway Complex Autism Service (KAMCAS),Kent and Medway Mental Health NHS Trust,Kent & Medway Complex Autism Service (KAMCAS),Advice & Signposting,Tertiary specialist service commissioned to support adults with complex presentations and a confirmed diagnosis of autism where other professionals within the mental health and the care system are unable to meet the persons needs effectively.,call 01732792044,https://sinclairstrong.co.uk/service/kent-medway-complex-autism-service-kamcas/,Aged 18-25,Behaviour; Special Educational Needs and Disability/ Autism/ADHD,Post 16,N,Professional referral,Commissioned by Medway LDA commissioners,y-Diane
Kent and Medway Mental Health NHS Trust: Medway Young Person's wellbeing service,Kent and Medway Mental Health NHS Trust,Medway Young Person's wellbeing service,"Getting more help
(specialist)","The Medway Young Persons' Wellbeing Service provides emotional wellbeing and mental health advice and support for young people and their families.

The Medway Young Persons' Wellbeing Service offers advice and support for:
 stress
 low mood 
 depression
 anxiety
 self-harm 
 difficult to manage behaviours as well as support for neurodevelopmental difficulties such as ADHD or ASD.

The way in which support is offered differs from young person to young person depending on the type and severity of concern. For some young people their emotional well-being may be having a significant impact on their day to day life and in these cases the YPWS may offer a short period of face to face or virtual support either in 1:1 sessions or in a group. All NELFTs direct support options aim for young people to meet their own goals. These include: online selfhelp; sign-posting to other organisations; crisis support; specialist assessments; face to face or virtual therapy either individually or in groups
Young people who have been discharged can refer themselves back into the service at any time.",Self refer or consultation on 08000113474,https://www.nelft.nhs.uk/services-kent-children-young-peoples-mental-health/,All,Anxiety/Depression/Low mood; Self harm; Behaviour; Special Educational Needs and Disability/ Autism/ADHD,All ages,N,Self/Professional referral,Commissioned,y-Diane
Kent and Medway Mental Health NHS Trust: Mental Health direct 24/7,Kent and Medway Mental Health NHS Trust,Mental Health direct 24/7,"Getting Help
(goals based)","If you currently receive a service from a team at NELFT, such as a local community mental health team or a psychiatrist, then make contact with them as soon as you can. It may be helpful to refer to your care plan, which should have details of who to contact in an emergency. If it is out of office hours or you dont know who to contact, you should call NELFT Mental health direct. You can call for mental health help and advice anytime.",Mental Health Direct: 0800 995 1000,https://www.nelft.nhs.uk/services-mental-health-direct,All,"Anxiety/Depression/Low mood; Self harm; Behaviour; Special Educational Needs and Disability/ Autism/ADHD; Eating Disorder; Health; Diagnosed mental health e.g. OCD, Psychosis, Personality Disorder",All ages,N,Self Referral,Commissioned,y-Diane
Kent and Medway Mental Health NHS Trust: MIND fresh,Kent and Medway Mental Health NHS Trust,MIND fresh,Advice & Signposting,Online self help resource for CYP and parents,,https://mindfresh.nelft.nhs.uk/,All,Special Educational Needs and Disability/ Autism/ADHD; Bullying; Trauma/Victim support; Behaviour;  Self harm; Anxiety/Depression/Low mood; Eating Disorder; Bereavement; Family Support; Wellbeing,All ages,N,No referral required,Commissioned,y-Diane
Kent and Medway Mental Health NHS Trust: Neurodevelopmental & Learning Disability Services,Kent and Medway Mental Health NHS Trust,Neurodevelopmental & Learning Disability Services,"Getting more help
(specialist)","The Neurodevelopmental and Learning Disability Service for Kent and Medway is a specialist service consisting of highly skilled multidisciplinary team responsible for the assessment and diagnosis of neurodevelopmental disorders including Autism Spectrum Condition (ASC), Attention Deficit Hyperactivity Disorder (ADHD), Learning Disabilities (LD) and Tics and Tourettes syndrome (TS).

The Learning Disability team is a community based specialist service offering support to children and young people, aged between 0-18 years, who are experiencing significant mental health problems and who are diagnosed with moderate to severe learning disability.",Self refer or consultation on 08000113474,https://www.nelft.nhs.uk/nlds,Aged 11-18,Special Educational Needs and Disability/ Autism/ADHD,Secondary School Age and post 16,N,Self/Professional referral,Commissioned,y-Diane
Kent and Medway Mental Health NHS Trust: Open Road,Kent and Medway Mental Health NHS Trust,Open Road,"Getting Help
(goals based)","Open Road is a drug and alcohol recovery support charity. It provides services to support individuals on their recovery from drug and alcohol addiction.

They have a specialised Young People Service who provide honest information about how drugs and alcohol work, what the risks are and how to reduce those risks. You do not have to want to stop using to start working with them.

They can also help if you are worried about a friend or a family member and their drink and drug use.

They also have days out including Go-Ape, paintballing, the zoo, and activities such as trampolining and bowling.",Phone: 01634 471 700 or Email: wellbeing-recovery@openroad.org.uk,https://www.openroad.org.uk/our-services/our-centres/medway-young-peoples-centre/,All,Health,All ages,N,Self/Professional referral,Commissioned,y-Diane
Kent and Medway Mental Health NHS Trust: Single Point of Access - SPA,Kent and Medway Mental Health NHS Trust,Single Point of Access - SPA,Advice & Signposting,Provides consultation around mental health support and signposts to suggested support,Self refer or consultation on 08000113474,https://www.nelft.nhs.uk/services-medway-young-persons-wellbeing,All,"Anxiety/Depression/Low mood; Self harm; Behaviour; Special Educational Needs and Disability/ Autism/ADHD; Diagnosed mental health e.g. OCD, Psychosis, Personality Disorder",All ages,N,Self/Professional referral,Commissioned,y-Diane
Kent and Medway Mental Health NHS Trust: Tier 4 Inpatient interventions,Kent and Medway Mental Health NHS Trust,Tier 4 Inpatient interventions,Risk Support,"covers facilities for children and young people with mental health problems who require hospital admission. Children can be placed in a tier 4 unit either as a voluntary (informal) patient, or as a person who has been detained under the Mental Health Act 1983.",Referral from a tier 3 CAMHS intervention service,,All,"Special Educational Needs and Disability/ Autism/ADHD; Trauma/Victim support; Behaviour;  Self harm; Anxiety/Depression/Low mood;  Eating Disorder; Diagnosed mental health e.g. OCD, Psychosis, Personality Disorder",All ages,N,Professional referral,Commissioned,y-Diane
NHS: Sexual Health Services,NHS,Sexual Health Services,Advice & Signposting,"Can provide advice  guidance around sexual health. Services include supporting sexual problems which may be as a result of a psychological problem, sexual assault referral centre, abortion support etc",,https://www.nhs.uk/nhs-services/sexual-health-services/guide-to-sexual-health-services/,All,Health; LGBTQIA+,All ages,N,No referral required,NHS,y-Diane
NHS England: NHS Young People�s Health Challenge (YPHC),NHS England,NHS Young People�s Health Challenge (YPHC),Advice & Signposting,"a new toolkit to help 714-year-olds across England to find out more about the NHS. The toolkit helps children and young people to increase their health literacy, create aspirations to work or volunteer within the NHS and reduce health inequalities",,https://www.yphc.org/,7-14 year olds ,Wellbeing; Health,Primary school age and Secondary School age,N,No referral required,NHS,y-Diane
NHS England: The Solihull Approach,NHS England,The Solihull Approach,Advice & Signposting,"The Solihull Approach is a not-for-profit NHS service for practitioners and parents to support emotional health and wellbeing in children, families, adults and older adults. The sound and well-researched ideas developed by a team of clinical psychologists that underpin the Approach are embedded in every aspect of our training.",Medway families can now access some courses on the Solihull website �www.inourplace.co.uk� �for free. The courses are based on the Solihull Approach. An individual can �register on the site and then access the courses using the codeword�Invicta.,https://inourplace.co.uk/,All,Health; Wellbeing,All ages,N,No referral required,NHS,y-Diane
NHS Kent and Medway: Kent & Medway Recovery and Wellbeing College,NHS Kent and Medway,Kent & Medway Recovery and Wellbeing College,Advice & Signposting,"The Kent  Medway Recovery  Wellbeing College provides health related educational courses for adults living in Kent  Medway, free of charge,  
in supportive and accessible learning spaces.  Through education, people can make sense of their experiences and learn how to take care of themselves and others.",Self Referral via form https://kmpt-nhs.heiapply.com/eoi-form/embed/3785,https://kmpt-nhs.heiapply.com/eoi-form/embed/3785,All,Wellbeing,Post 16,N,Self Referral,commissioned,y-Diane
NHS Kent and Medway: Kent & Medway Safe Havens,NHS Kent and Medway,Kent & Medway Safe Havens,"Getting Help
(goals based)","Kent and Medway Safe Havens offers out of hours mental health support for anyone aged 16 if you are feeling distressed, frightened and overwhelmed. We are a non-clinical alternative to AE who provide a drop-in service open to anyone and need crisis metal health support, emotional wellbeing support or anyone who is suffering with anxiety or any other mental health symptoms. 

The service is open from 6pm to 11pm including weekends and bank holidays.","Whilst professionals can make referrals, a referral is not needed for individuals to access Safe Havens. Call: 07850 901 151 or 07808 795 036 or Email: Medway.mhm@nhs.net",https://www.mhm.org.uk/kent-safe-havens,Aged 16+,Anxiety/Depression/Low mood; Family Support; Wellbeing,Post 16,N,No referral required,Commissioned,y-Diane
NHS Kent and Medway: KOOTH,NHS Kent and Medway,KOOTH,"Getting Help
(goals based)","an online safe, anonymous and supportive community which offers counselling, discussion boards, help articles, journal and self-help tools for 10-25 year olds",,https://www.kooth.com/,Aged 10-25,Bullying; Anxiety/Depression/Low mood,"Primary school age, Secondary School age and post 16 ",N,Self/Professional referral,Commissioned,y-Diane
NHS Kent and Medway: Live Well Kent and Medway,NHS Kent and Medway,Live Well Kent and Medway,"Getting Help
(goals based)","Live Well Kent and Medway offers support with keeping active and healthy and everyday living including: managing your money, debt and benefits, housing support and guidance, and accessing counselling.",call 0800 567 7699 or email info@livewellkent.org.uk,https://livewellkent.org.uk/,17+,"Anxiety/Depression/Low mood; Wellbeing; Homelessness, finance, employment; Bullying; Behaviour; Family Support; Health",Post 16,N,Self/Professional referral,commissioned,y-Diane
NHS Kent and Medway: Medway Talking therapies,NHS Kent and Medway,Medway Talking therapies,"Getting more help
(specialist)","Everyone goes through difficult times; sometimes our problems affect our day-to-day lives and we feel that we cant cope. If you are in this situation, you are not alone.

Medway Talking Therapies is a FREE, confidential service, commissioned by the NHS, and available to anyone aged 18 or over and who is registered with a GP in Medway.","Call us � 0333 091 0141 (local rate)
Email us � medway@insighthealthcare.org. 
Ask your GP/other professional supporting you to refer you or use the online form; https://www.insighthealthcare.org/our-services/talking-therapies/find-a-service/medway-talking-therapies/#selfReferForm",https://kmtalkingtherapies.co.uk/,Aged 18+,Anxiety/Depression/Low mood,Post 16,N,Self/Professional referral,Commissioned,y-Diane
NHS Kent and Medway: QWELL,NHS Kent and Medway,QWELL,"Getting Help
(goals based)","QWELL provides anonymous online counselling and online resources to those aged 18 years who reside in Medway. The service will provide an early response to, and identification of emotional wellbeing and mental health problems, leading to improved well-being, prevention of symptom escalation and provision of the right care at the right time.",see weblink for how to access,https://www.qwell.io/,Parents/Carers/Care leavers/18+,"Anxiety/Depression/Low mood; Homelessness, finance, employment; Family Support; Wellbeing",Post 16,N,Self Referral,commissioned,y-Diane
NHS Kent and Medway: Service User Network (SUN),NHS Kent and Medway,Service User Network (SUN),Advice & Signposting,"A community network of peer-support groups for people who are experiencing difficulties with complex emotions often associated with Personality Disorder, but you dont need a diagnosis to attend. SUN groups can support someone by helping them to share their experiences with others who are feeling the same, or similar. These groups are for people who find their emotions are affecting their relationships, or have difficulty managing their emotions.

The aim of SUN is to support someone in the community by connecting them with like-minded people who are feeling the same. This helps someone to feel less isolated and can help them to manage their feelings before they reach the point where they cant cope. SUN groups are led by a facilitator with Lived Experience and a clinician facilitator.",Register your interest in SUN by emailing SUN.kentandmedway@nhs.net,https://www.kmhealthandcare.uk/transformation-projects/community-mental-health-services/service-user-network,18+ ,"Diagnosed mental health e.g. OCD, Psychosis, Personality Disorder",Post 16,N,Self Referral,ICB led,y-Diane
NHS Kent and Medway: SHOUT/Release the pressure,NHS Kent and Medway,SHOUT/Release the pressure,"Getting Help
(goals based)",helpline consists of a team of highly trained and experienced support workers who provide emotional guidance and information,Text SHOUT to 85258 or call 0800 107 0160,https://www.kent.gov.uk/social-care-and-health/health/release-the-pressure,All,Anxiety/Depression/Low mood,All ages,N,Self Referral,Commissioned,y-Diane
North Kent Mind: Wellbeing services and resources,North Kent Mind,Wellbeing services and resources,advice & signposting,"offer you a range of wellbeing services and resources if you are going through a difficult time or struggling emotionally. This includes courses to develop mental health coping strategies, help you manage depression, anxiety and stress, and to improve your self-esteem and become more confident. There is also employment support if you feel that your mental health has become a barrier to finding work.",,https://northkentmind.co.uk/medway-wellbeing-services/,All,"Anxiety/Depression/Low mood; Wellbeing; Homelessness, finance, employment",All ages,N,No referral required,Approved by the group,y-Diane
NSPCC: Building Connections ,NSPCC,Building Connections ,Advice & Signposting,"Building Connections is an online service for young people up to the age of 19, empowering them to find a way through loneliness.
Young people work with a trained befriender, who guides them and champions them each step of the way. Building Connections gives young people tools that can help them build their confidence and better equip them to manage loneliness.",Refer to the make a referral section on website for guidelines and instructions ,https://learning.nspcc.org.uk/services/building-connections?utm_campaign=20230918_KIS_CASPAR_September18&utm_content=Building%20Connections&utm_medium=email&utm_source=Adestra,Up to 19 years old,Wellbeing,"Primary school age, Secondary School age and post 16",Y,Professional referral,recommended by dfe,y-Diane
Oasis: Home Start,Oasis,Home Start,"Getting Help
(goals based)","Offers interventions to support those impacted by domestic abuse or dysfunctional controlling relationships, and the psychological trauma and practical fall out resulting from this on family life. Offer emotional and practical solutions and where necessary safety planning strategies. Focused behavioural support will also be offered to children who may have witnessed and been traumatised by Domestic Abuse.",07718657160 or email: RAISEreferrals@oasisdaservice.org,http://www.oasisdaservice.org/,All,Trauma/Victim support; Behaviour; Anxiety/Depression/Low mood,All ages,N,Professional referral,commissioned by Glen Page and Approved by the group,y-Diane
Oasis: one stop shop,Oasis,one stop shop,advice & signposting,"One Stop Shops are a place for anyone who is experiencing domestic violence to visit. The atmosphere is non-judgmental and informal, all visits are anonymous, and you can visit as many times as necessary.","held at the Sunlight Centre, 105 Richmond Road, Gillingham every Tuesday morning 9.30am-11.30am",http://www.oasisdaservice.org/one-stop,All,Trauma/Victim support,All ages,N,Self Referral,DFE/Recommended by DfE,y-Diane
Other services: Bemix,Other services,Bemix,Advice & Signposting,"Bemix is an organisation that aims to make sure we live in a world where every single person is valued. Bemix provides group projects and internships to ensure that people with and without learning difficulties or autism are working and learning together. Their group projects allow people of any ability or background to develop their skills and make friends. Their supported internships are year-long programmes aimed at people aged 17 to 24 with an Education, Health and Care Plan (EHCP).They also deliver presentations and workshops to schools to challenge negative attitudes about learning disabilityautism",Phone: 01227 374 285 or Email: info@bemix.org,https://www.bemix.org/,All,Special Educational Needs and Disability/ Autism/ADHD,All ages,N,Self/Professional referral,worked with previously,y-Diane
Other services: EMERGE,Other services,EMERGE,"Getting Help
(goals based)",Youth support workers who provide short term support for young people who find themselves in AE because they are struggling with self-harm or feeling suicidal. 7pm  11pm Monday to Thursday,call on 07983136215 or ask a member of the hospital staff to call or email: hellomedway@emergeadvocacy.com,https://emergeadvocacy.com/medway-maritime-hospital/,Aged 10-25,Self harm; Anxiety/Depression/Low mood,"Primary school age, Secondary School age and post 16 ",N,Self Referral,Internal Service,y-Diane
Other Services: K&M Domestic abuse support services,Other Services,K&M Domestic abuse support services,"Getting Help
(goals based)","provides a central, comprehensive resource of all Domestic Abuse related services within Kent and Medway for victims, friends  family and perpetrators",0808 168-9111 or talk via Live Chat in the website,https://www.domesticabuseservices.org.uk/,All,Trauma/Victim support,All ages,N,Self Referral,Commissioned Sara Moreland,y-Diane
Other Services: Kent Association for the Blind,Other Services,Kent Association for the Blind,"Getting Help
(goals based)",Offers personalised support to families and children. They provide a range of activities and therapeutic services.,Tel: 01634 332929 or Email: rehab.medway@kab.org.uk,https://www.kab.org.uk/get-support/services/children-and-families/,All,Special Educational Needs and Disability/ Autism/ADHD,All ages,N,Self/Professional referral,Partner agency,y-Diane
Other Services: Medway Parents and Carers Forum,Other Services,Medway Parents and Carers Forum,Advice & Signposting,"Forum set up by parentscarers of children with SEND, to give first-hand experiences, peer support and advice about supporting a young person with additional needs.  Also offer support for Parents and carers with Form filling including completing DLA, PIP and Universal Credit forms",Self-refer by joining their forum on the website or by finding them on Facebook. You can also email info@medwaypcf.org.uk for more information or to join the forum. ,https://www.medwaypcf.org.uk/,All,Behaviour; Special Educational Needs and Disability/ Autism/ADHD; Family Support; Social Care,All ages,N,Self Referral,Medway internal,y-Diane
Other services: Megan CIC,Other services,Megan CIC,"Getting Help
(goals based)","Megan CIC has a range of support groups run by people who have experienced mental health issues (and may still experience them). This includes a support group for people who have experienced depression, anxiety and bipolar, life after addition and support around emotional wellbeing in relation to neurodiversity.","Call 01634 402077, email enquiries@megancic.org.uk",https://megancic.org.uk/medway/,Age 17+,"Diagnosed mental health e.g. OCD, Psychosis, Personality Disorder",Post 16,N,Self Referral,Approved by the group and recommended by DfE,y-Diane
Other services: young lives foundation,Other services,young lives foundation,advice & signposting,"services including advocacy and children's rights, mentoring and befriending",to refer a young person https://ylf.org.uk/how-you-can-help/refer-a-young-person/,https://ylf.org.uk/,All,Anxiety/Depression/Low mood; Bullying; Wellbeing,All ages,N,Self/Professional referral,Partner agency,y-Diane
PBS: PBS training,PBS,PBS training,Thriving,"The overall aim of Positive Behaviour Support is to help improve the quality of life for the individual and those around them. It is an evidence based approach to supporting people who may or may not be displaying behaviours of concern. It seeks to udnerstand the reasons for behaviour so that unmet needs can be met. It is a proacive and preventative approach, focussing on teaching new skills to help individuals participate.

Some schools have taken part in different levels of training including awareness or practitioner. To access internal Medway Council staff can sign up to attend through i-share. For parents, carers and residential settings please email ctuckerkentautistic.com. For schools please access through Small Steps. For more information please email diane.weekesmedway.gov.uk",Awareness level training available for free online. Internal staff can access through i-share,https://www.medway.gov.uk/info/200410/positive_behaviour_support/1278/positive_behaviour_support_pbs_awareness_training,Various,Behaviour; Special Educational Needs and Disability/ Autism/ADHD,All ages,N,Self Referral,Internal Service,y-Diane
Policy Centre for African Peoples: Hope After Covid Program,Policy Centre for African Peoples,Hope After Covid Program,Thriving,"Hope after Covid is a Medway and Swale free coaching and engagement service inspired by African philosophy. The aim is to improve the wellbeing, mental health and social engagement of all participants 18 and over.",Email info@pcap.org.uk,https://forms.office.com/pages/responsepage.aspx?id=t-xQpxHGOkWpXW5pvrZI8_uUY7ZaeNBLhpMUCYBEXVZUQ0ozWUtCMDNRSEtEWEgwWTVKSUdSMUQ5MS4u&origin=QRCode&route=shorturl,ages 18+,Wellbeing,Post 16,N,Self Referral,Recommended by Youth Service ,y-Diane
Policy Centre for African Peoples: Youth Fellowship Innovation Program ,Policy Centre for African Peoples,Youth Fellowship Innovation Program ,Thriving,"The Youth Innovation Fellowship Programme is a coaching and personal development project that the Policy Centre for African Peoples (PCAP) will be running until April 2025  to coach and support disadvantaged young people aged between 18 and 25 who are based outside London. All youths enrolled in the Youth Innovation Fellowship Programme will receive a free, 1 to 1 support package 
over 4 months. The support package will consist of 1 coaching session lasting 1 hour every month. The 
coaching will be personalised and tailored to the specific needs of each youth.", https://forms.office.com/e/5RhmXnZryQ�,https://pcap.org.uk/launch-of-our-pcap-youth-innovation-fellowship-programme/,ages 16-25,"Homelessness, finance, employment",Post 16,N,Self Referral,Recommended by Youth Service ,y-Diane
Public Health Child Health Team: A Better Medway Schools Award,Public Health Child Health Team,A Better Medway Schools Award,Thriving,"Award based on evidence based approaches that promote the link between good health, behaviour and achievement around 8 key areas; PSHE, Staff wellbeing, Mental Health  Emotional Wellbeing, Parent Engagement, Healthy Eating  Nutrition, Community Engagement, Physical Activity  Active Travel, Smoke Free. Using a whole school approach involving whole school community. Bronze level award schools benefit from; a free whole school membership to the PSHE Association and priority on training courses, Silver; 3x assemblies a year on health and wellbeing, 100 Health Edco voucher, extra places on YMHFA, 2 parent health promotion workshops, Gold; bespoke training coursesYMHFA delivered, 200 Health Edco voucher",Email childhealth@medway.gov.uk,,Schools,Wellbeing,All ages,Y,Professional referral,Internal Service,y-Diane
Public Health Child Health Team: A Better Medway website,Public Health Child Health Team,A Better Medway website,Advice & Signposting,website with useful information around improving physical and emotional health and wellbeing,,http://www.abettermedway.co.uk/,All,Anxiety/Depression/Low mood; Health; Wellbeing,All ages,N,No referral required,Internal Service,y-Diane
Public Health Child Health Team: Abusive Relationships,Public Health Child Health Team,Abusive Relationships,Advice & Signposting,lessons to enable children and young people to recognise and expect high quality  loving relationships,Email childhealth@medway.gov.uk,,Secondary schools,Trauma/Victim support,Secondary School Age (11-16),Y,Professional referral,Internal Service,y-Diane
Public Health Child Health Team: ACEs and Trauma informed practice,Public Health Child Health Team,ACEs and Trauma informed practice,Thriving,"The aim of the programme is to develop understanding about the impact of trauma on child development and learn how to recognise its effects on CYP and their behaviour, as well as how to effectively respond to its effects without causing additional trauma.  There are 3 options for training; level 1 is aimed at the wider children's workforce including lunchtime supervisors, school governors and caretakers for example. Level 2 is for staff in pastoral roles who are supporting CYP with their emotional health and wellbeing needs and level 3 is a train the trainer course. Anyone who wishes to do level 2 or 3 needs to have completed previous levels first.",Email childhealth@medway.gov.uk,,Professionals,Trauma/Victim support,All ages,N,Professional referral,Internal Service,y-Diane
Public Health Child Health Team: Alumina facilitator training,Public Health Child Health Team,Alumina facilitator training,Advice & Signposting,This 2 day course equips facilitators with the skills and resources to deliver a 6-7 week course for YP aged 14-19 years to support them in understanding and manager their self-harm,Email childhealth@medway.gov.uk,,Secondary schools,Self harm,Secondary School Age (11-16),N,Professional referral,Internal Service,y-Diane
Public Health Child Health Team: Alumina online,Public Health Child Health Team,Alumina online,Advice & Signposting,A free online 7-week course for YP aged 14-19 years to support them in understanding and manage their self-harm. Run by friendly counsellors and volunteer youth workers.,,https://www.selfharm.co.uk/,Secondary schools,Self harm,Secondary School Age (11-16),N,Self Referral,Internal Service,y-Diane
Public Health Child Health Team: Connect 5 Training,Public Health Child Health Team,Connect 5 Training,Advice & Signposting,Mental health training programme drawing on CBT to help promote self-help. Train the Trainer also available,Email childhealth@medway.gov.uk,https://www.medway.gov.uk/info/200231/mental_wellbeing/569/healthy_mind/5,Schools,Anxiety/Depression/Low mood,All ages,N,No referral required,Internal Service,y-Diane
Public Health Child Health Team: Gangs,Public Health Child Health Team,Gangs,Advice & Signposting,Pack to help teachers explore reasons why children and young people may join a gang and implications and how to get support,Email childhealth@medway.gov.uk,,Secondary schools,Behaviour,Secondary School Age (11-16),Y,Professional referral,Internal Service,y-Diane
Public Health Child Health Team: Interactive Safeguarding Resources,Public Health Child Health Team,Interactive Safeguarding Resources,Advice & Signposting,"Resources to help understand and identify CSE, extremism  radicalisation. Once trained individuals will be able to use the tool with young people",email youth.enquiries@medway.gov.uk,,Secondary schools,Social Care,Secondary School Age (11-16),Y,No referral required,Internal Service,y-Diane
Public Health Child Health Team: Managing Family Conflicts,Public Health Child Health Team,Managing Family Conflicts,Advice & Signposting,Set of materials to address conflict within family  personal relationships and support children and young people to explore safe conflict resolution behaviours,Email childhealth@medway.gov.uk,,Secondary schools,Family Support; Behaviour,Secondary School Age (11-16),Y,No referral required,Internal Service,y-Diane
Public Health Child Health Team: Mental Health Leads Partnership,Public Health Child Health Team,Mental Health Leads Partnership,Thriving,"Medway Council's Child Health Team and Partnership Commissioning lead on a network of professionals whom work withchildren  young people.The network brings together mental health services and school settings in a collaborative place to create a whole system approach to support children and young peoples mental health and wellbeing in education settings. The group includes a collective resource platform and further opportunities to share best practice and network and keep up to date with service provision as well as policy and legislative changes. The network can support any trouble shooting or common themes that may be arising for your setting, seeking collaborative solutions and embedding a no wrong door approach for children and young people in.",Email childhealth@medway.gov.uk,https://forms.office.com/r/AiZTnhv8T2,Professionals,Wellbeing,All ages,N,No referral required,Internal Service,y-Diane
Public Health Child Health Team: Newsletter,Public Health Child Health Team,Newsletter,Thriving,"The child health team circulate various newsletters sharing useful information and resources to help support professionals to support CYP including the PSHE newsletter, recovery bulletin, child safeguarding newsletter",Email childhealth@medway.gov.uk,,,Wellbeing,,N,No referral required,Internal Service,y-Diane
Public Health Child Health Team: Parent Mental Health workshops,Public Health Child Health Team,Parent Mental Health workshops,Advice & Signposting,"9 online sessions available for parents and carers;  Supporting your childs mental health 
Managing your own mental health 
Online Safety 
Puberty and Growing Up 
Self-Harm 
Sexual Health 
Child Exploitation 
Healthy Relationships and Consent 
Statutory Relationships and Sex Education",email jodie.miller@medway.gov.uk ,,ABM schools & Family Solutions families,Family Support; Anxiety/Depression/Low mood; Self harm; Wellbeing,All ages,N,No referral required,Internal Service,y-Diane
Public Health Child Health Team: Peer Ambassador Programme,Public Health Child Health Team,Peer Ambassador Programme,Advice & Signposting,The child health team offer training courses Secondary school children to be able to support their peers,Email childhealth@medway.gov.uk,,Secondary schools,Anxiety/Depression/Low mood; Wellbeing,Secondary School Age (11-16),Y,No referral required,Internal Service,y-Diane
Public Health Child Health Team: Positive Period,Public Health Child Health Team,Positive Period,Thriving,Menstrual wellness lesson plan to understand period products and promote menstrual wellbeing. Helping to combat period stigma and promote period positivity and also improve access to period products  info.,Email childhealth@medway.gov.uk,,Schools,Health; Wellbeing,All ages,Y,No referral required,Internal Service,y-Diane
Public Health Child Health Team: PSHE Network,Public Health Child Health Team,PSHE Network,Thriving,"To bring PSHE colleagues together alongside the LA PSHE lead to ensure information, guidance, resources and training are contemporary. This includes teacher training packs and resources as well as a forum for discussion of methods, successes and other practices.",Email childhealth@medway.gov.uk,,Schools,Anxiety/Depression/Low mood; Wellbeing,All ages,Y,No referral required,Internal Service,y-Diane
Public Health Child Health Team: PSHE Subject Review,Public Health Child Health Team,PSHE Subject Review,Thriving,"needs assessment mapping current PSHE provision and feedback, guidance and key actions for embed a whole school approach to promote emotional health and wellbeing.",Email childhealth@medway.gov.uk,,Schools,Health; Anxiety/Depression/Low mood; Wellbeing,All ages,Y,No referral required,Internal Service,y-Diane
Public Health Child Health Team: Resilience Programmes,Public Health Child Health Team,Resilience Programmes,Advice & Signposting,A train the trainer programme that provides the CYPs workforce with the resources and skills that will enable them to deliver a series of workshops aimed at helping CYP to understand what is resilience and develop the skills needed to nurture their resilience,Email childhealth@medway.gov.uk,,Professionals,Anxiety/Depression/Low mood; Wellbeing,All ages,N,No referral required,Internal Service,y-Diane
